title,bestRating,ratingValue,ratingCount,country,date,budget,actors,link,ratingValue_qcut
Легенды осени,10.0,7.995,100284.0,США,1994.0,"(30000000, '$')","['Брэд Питт', 'Энтони Хопкинс', 'Айдан Куинн', 'Джулия Ормонд', 'Генри Томас', 'Карина Ломбард', 'Танту Кардинал', 'Гордон Тутусис', 'Пол Десмонд', 'Кристина Пиклз']",/film/8827/,
Хранитель времени,10.0,6.94,98341.0,Франция,2011.0,"(150000000, '$')","['Эйса Баттерфилд', 'Хлоя Грейс Морец', 'Бен Кингсли', 'Саша Барон Коэн', 'Хелен Маккрори', 'Майкл Стулбарг', 'Кристофер Ли', 'Эмили Мортимер', 'Джуд Лоу', 'Ричард Гриффитс']",/film/462247/,
Дорога перемен,10.0,7.489,104748.0,Великобритания,2008.0,"(35000000, '$')","['Кейт Уинслет', 'Леонардо ДиКаприо', 'Кэти Бейтс', 'Майкл Шеннон', 'Джей О. Сэндерс', 'Дэвид Харбор', 'Кэтрин Хан', 'Ричард Истон', 'Дилан Бейкер', 'Кит Реддин']",/film/280932/,
Мечтатели,10.0,7.373,100312.0,США,2003.0,"(15000000, '$')","['Майкл Питт', 'Ева Грин', 'Луи Гаррель', 'Анна Чэнселлор', 'Робен Ренуччи', 'Жан-Пьер Кальфон', 'Жан-Пьер Лео', 'Флориан Кадиу', 'Пьер Ансисс', 'Валентен Мерле']",/film/8043/,
Арахисовый сокол,10.0,7.523,101602.0,США,2019.0,"(6200000, '$')","['Шайа ЛаБаф', 'Зак Готтзаген', 'Дакота Джонсон', 'Джон Хоукс', 'Брюс Дерн', 'Джон Бернтал', 'Томас Хейден Чёрч', 'Мик Фоли', 'Джейк Робертс']",/film/925389/,
Неоновый демон,10.0,6.135,106998.0,Франция,2016.0,"(7000000, '$')","['Эль Фаннинг', 'Карл Глусман', 'Джена Мэлоун', 'Белла Хиткот', 'Эбби Ли', 'Десмонд Хэррингтон', 'Кристина Хендрикс', 'Киану Ривз', 'Чарльз Бэйкер', 'Джеми Клейтон']",/film/623721/,
Резня,10.0,7.342,100212.0,Польша,2011.0,"(25000000, '$')","['Джоди Фостер', 'Кейт Уинслет', 'Кристоф Вальц', 'Джон Си Райли', 'Элвис Полански', 'Элиот Бергер', 'Джозеф Резвин', 'Нэйтан Риппи', 'Таня Лопер', 'Джули Адамс']",/film/557837/,
Август Раш,10.0,7.981,95537.0,Корея Южная,2007.0,"(30000000, '$')","['Фредди Хаймор', 'Робин Уильямс', 'Кери Рассел', 'Джонатан Риз Майерс', 'Терренс Ховард', 'Уильям Сэдлер', 'Мэриэн Селдес', 'Майкелти Уильямсон', 'Леон Дж. Томас III', 'Аарон Стэтон']",/film/86566/,
Бумер: Фильм второй,10.0,6.081,106305.0,Россия,2006.0,"(5000000, '$')",,/film/79883/,
Бык,10.0,6.836,91479.0,Россия,2019.0,,,/film/1142654/,
